ZipCode,City,State,Latitude,Longitude,Classification,Population
"37024","BRENTWOOD","TN","36.0347","-86.7836","P","0"
"37025","BON AQUA","TN","35.9357","-87.3227","","6226"
"37026","BRADYVILLE","TN","35.7047","-86.1098","","2201"
"37027","BRENTWOOD","TN","36.0016","-86.7807","","49035"
"37028","BUMPUS MILLS","TN","36.6283","-87.8479","","676"
"37029","BURNS","TN","36.0377","-87.2640","","5628"
"37030","CARTHAGE","TN","36.2743","-85.9718","","6982"
"37031","CASTALIAN SPRINGS","TN","36.3740","-86.2919","","3712"
"37032","CEDAR HILL","TN","36.5367","-87.0258","","4493"
"37033","CENTERVILLE","TN","35.7466","-87.5332","","7805"
"37034","CHAPEL HILL","TN","35.6419","-86.6928","","6591"
"37035","CHAPMANSBORO","TN","36.3760","-87.1208","","3766"
"37036","CHARLOTTE","TN","36.2507","-87.2839","","5862"
"37037","CHRISTIANA","TN","35.6963","-86.3721","","6312"
"37040","CLARKSVILLE","TN","36.5165","-87.3220","","44924"
"37041","CLARKSVILLE","TN","36.5294","-87.3594","P","0"
"37042","CLARKSVILLE","TN","36.5597","-87.4069","","66916"
"37043","CLARKSVILLE","TN","36.5033","-87.2315","","39945"
"37044","CLARKSVILLE","TN","36.5324","-87.3543","U","0"
"37046","COLLEGE GROVE","TN","35.7824","-86.7170","","3665"
"37047","CORNERSVILLE","TN","35.3272","-86.8177","","2345"
"37048","COTTONTOWN","TN","36.4889","-86.5869","","6030"
"37049","CROSS PLAINS","TN","36.5557","-86.6927","","3244"
"37050","CUMBERLAND CITY","TN","36.3678","-87.6271","","1699"
"37051","CUMBERLAND FURNACE","TN","36.2960","-87.4222","","3677"
"37052","CUNNINGHAM","TN","36.3702","-87.4095","","2656"
"37055","DICKSON","TN","36.0628","-87.4303","","27024"
"37056","DICKSON","TN","36.0769","-87.3879","P","0"
"37057","DIXON SPRINGS","TN","36.4010","-86.0228","","834"
"37058","DOVER","TN","36.5158","-87.8824","","7081"
"37059","DOWELLTOWN","TN","35.9642","-85.9065","","1552"
"37060","EAGLEVILLE","TN","35.7463","-86.6355","","2230"
"37061","ERIN","TN","36.2731","-87.6524","","5153"
"37062","FAIRVIEW","TN","35.9914","-87.1316","","10745"
"37063","FOSTERVILLE","TN","35.6534","-86.4032","P","0"
"37064","FRANKLIN","TN","35.8832","-86.9611","","48118"
"37065","FRANKLIN","TN","35.9253","-86.8688","P","0"
"37066","GALLATIN","TN","36.3880","-86.4609","","42758"
"37067","FRANKLIN","TN","35.9084","-86.7779","","23652"
"37068","FRANKLIN","TN","35.9253","-86.8688","P","0"
"37069","FRANKLIN","TN","35.9914","-86.9147","","18899"
"37070","GOODLETTSVILLE","TN","36.3233","-86.7133","P","0"
"37071","GLADEVILLE","TN","36.1126","-86.4157","P","0"
"37072","GOODLETTSVILLE","TN","36.3550","-86.7621","","30215"
"37073","GREENBRIER","TN","36.4352","-86.8099","","13350"
"37074","HARTSVILLE","TN","36.4168","-86.1457","","6965"
"37075","HENDERSONVILLE","TN","36.3454","-86.6017","","59256"
"37076","HERMITAGE","TN","36.1431","-86.5897","","35230"
"37077","HENDERSONVILLE","TN","36.3044","-86.6200","P","0"
"37078","HURRICANE MILLS","TN","35.9286","-87.7568","","674"
"37079","INDIAN MOUND","TN","36.4777","-87.6492","","2578"
"37080","JOELTON","TN","36.3237","-86.9317","","7384"
"37082","KINGSTON SPRINGS","TN","36.0866","-87.1107","","6107"
"37083","LAFAYETTE","TN","36.5304","-86.0058","","13909"
"37085","LASCASSAS","TN","35.9487","-86.2910","","4035"
"37086","LA VERGNE","TN","36.0221","-86.5582","","31513"
"37087","LEBANON","TN","36.2789","-86.2737","","41132"
"37088","LEBANON","TN","36.2084","-86.2914","P","0"
"37089","LA VERGNE","TN","36.0156","-86.5819","U","0"
